Tracing route to 165.22.238.61 over a maximum of 30 hops

  1    <1 ms    <1 ms    <1 ms  mynetwork [192.168.2.1]
  2     3 ms     1 ms     1 ms  10.11.6.169
  3     *        *        *     Request timed out.
  4     8 ms     7 ms     7 ms  tcore4-toronto21_hu2/5/0/3_35.net.bell.ca [64.230.59.188]
  5     2 ms     1 ms     2 ms  dis2-toronto21_ae2_0.net.bell.ca [64.230.107.187]
  6     8 ms     7 ms     3 ms  tcore3-toronto21_bundle-ether9.net.bell.ca [64.230.107.184]
  7     *        4 ms     *     tcore1-torontoxn_ae3.net.bell.ca [64.230.51.154]
  8     2 ms     2 ms     2 ms  bx5-torontoxn_ae0.net.bell.ca [64.230.52.229]
  9     3 ms     3 ms     3 ms  toro-b1-link.telia.net [213.248.97.222]
 10     3 ms     2 ms     2 ms  toro-b1-link.ip.twelve99.net [62.115.116.181]
 11     2 ms     2 ms     2 ms  digitalocean-ic-313814-toro-b1.c.telia.net [62.115.55.30]
 12     *        *        *     Request timed out.
 13     *        *        *     Request timed out.
 14     3 ms     2 ms     3 ms  165.22.238.61

Trace complete.
